Client_1;0.00%;0.06%;1.723MiB / 2.804GiB;5;3.4kB / 0B;0B / 0B;6;75
Gateway_1;0.00%;0.07%;2.074MiB / 2.804GiB;6;3.37kB / 586B;53.2kB / 0B;6;75
Clients_Router_1;18.95%;0.13%;3.762MiB / 2.804GiB;7;41.8kB / 0B;0B / 0B;6;75
Gateways_Router_1;38.36%;0.21%;6.102MiB / 2.804GiB;10;43.9kB / 0B;0B / 0B;6;75
Server;18.32%;1.18%;33.89MiB / 2.804GiB;17;8.36kB / 30.4kB;5.47MB / 4.1kB;6;75
Client_1;0.00%;0.06%;1.723MiB / 2.804GiB;5;107kB / 0B;0B / 0B;13;75
Gateway_1;0.00%;0.07%;2.074MiB / 2.804GiB;6;130kB / 656B;53.2kB / 0B;13;75
Clients_Router_1;29.16%;1.16%;33.18MiB / 2.804GiB;16;294kB / 210kB;0B / 0B;13;75
Gateways_Router_1;29.24%;1.08%;31.1MiB / 2.804GiB;16;275kB / 253kB;0B / 0B;13;75
Server;26.82%;1.18%;33.93MiB / 2.804GiB;17;235kB / 152kB;5.47MB / 4.1kB;13;75
Client_1;0.00%;0.06%;1.723MiB / 2.804GiB;5;275kB / 0B;0B / 0B;20;68
Gateway_1;22.85%;0.14%;4.133MiB / 2.804GiB;8;297kB / 656B;73.7kB / 0B;20;68
Clients_Router_1;23.54%;1.15%;33.16MiB / 2.804GiB;16;627kB / 540kB;0B / 0B;20;68
Gateways_Router_1;22.37%;1.09%;31.18MiB / 2.804GiB;16;607kB / 586kB;0B / 0B;20;68
Server;26.17%;1.18%;33.91MiB / 2.804GiB;17;573kB / 323kB;5.47MB / 4.1kB;20;68
Client_1;0.00%;0.06%;1.723MiB / 2.804GiB;5;423kB / 0B;0B / 0B;27;98
Gateway_1;41.55%;2.03%;58.36MiB / 2.804GiB;27;476kB / 1.07kB;3.04MB / 0B;27;98
Clients_Router_1;21.28%;1.16%;33.22MiB / 2.804GiB;16;982kB / 840kB;0B / 0B;27;98
Gateways_Router_1;25.63%;1.10%;31.57MiB / 2.804GiB;17;933kB / 945kB;4.1kB / 0B;27;98
Server;24.15%;1.18%;33.98MiB / 2.804GiB;17;898kB / 494kB;5.47MB / 4.1kB;27;98
Client_1;29.06%;0.28%;8.051MiB / 2.804GiB;13;544kB / 0B;0B / 0B;35;97
Gateway_1;36.48%;3.17%;91MiB / 2.804GiB;28;602kB / 1.07kB;6.8MB / 16.4kB;35;97
Clients_Router_1;22.61%;1.16%;33.27MiB / 2.804GiB;16;1.24MB / 1.08MB;0B / 0B;35;97
