Client_2;0.00%;0.02%;1.383MiB / 7.473GiB;2;4.19kB / 666B;0B / 0B;6;26
Client_1;0.00%;0.02%;1.602MiB / 7.473GiB;2;4.88kB / 666B;0B / 0B;6;26
Gateway_2;48.90%;2.57%;196.7MiB / 7.473GiB;22;4.91kB / 836B;0B / 16.4kB;6;26
Gateway_1;46.94%;2.87%;219.8MiB / 7.473GiB;22;5.58kB / 836B;0B / 16.4kB;6;26
Clients_Router_1;0.00%;0.02%;1.211MiB / 7.473GiB;2;11.3kB / 1.52kB;0B / 0B;6;26
Gateways_Router_1;0.00%;0.02%;1.531MiB / 7.473GiB;2;12.9kB / 1.52kB;0B / 0B;6;26
Server;0.00%;0.02%;1.531MiB / 7.473GiB;2;6.66kB / 666B;0B / 0B;6;26
Client_2;0.00%;0.02%;1.383MiB / 7.473GiB;2;4.77kB / 736B;0B / 0B;13;23
Client_1;0.00%;0.02%;1.602MiB / 7.473GiB;2;5.3kB / 736B;0B / 0B;13;23
Gateway_2;42.65%;3.14%;240.2MiB / 7.473GiB;22;5.25kB / 836B;0B / 16.4kB;13;23
Gateway_1;36.74%;3.19%;244.2MiB / 7.473GiB;22;5.92kB / 836B;0B / 16.4kB;13;23
Clients_Router_1;0.00%;0.02%;1.211MiB / 7.473GiB;2;12.2kB / 1.52kB;0B / 0B;13;23
Gateways_Router_1;0.00%;0.02%;1.531MiB / 7.473GiB;2;13.6kB / 1.52kB;0B / 0B;13;23
Server;0.00%;0.02%;1.531MiB / 7.473GiB;2;7kB / 736B;0B / 0B;13;23
Client_2;0.00%;0.02%;1.383MiB / 7.473GiB;2;4.87kB / 736B;0B / 0B;21;22
Client_1;0.00%;0.02%;1.602MiB / 7.473GiB;2;5.4kB / 736B;0B / 0B;21;22
Gateway_2;47.80%;3.17%;242.2MiB / 7.473GiB;22;5.25kB / 836B;0B / 16.4kB;21;22
Gateway_1;47.06%;3.19%;244MiB / 7.473GiB;22;5.92kB / 836B;0B / 16.4kB;21;22
