Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;5.94kB / 666B;0B / 0B;5;23
Gateway_1;0.00%;0.04%;3.164MiB / 7.473GiB;6;5.55kB / 836B;61.4kB / 0B;5;23
Clients_Router_1;0.00%;0.04%;2.996MiB / 7.473GiB;6;29.2kB / 1.52kB;0B / 0B;5;23
Gateways_Router_1;0.00%;0.04%;3.078MiB / 7.473GiB;6;31.1kB / 1.52kB;4.1kB / 0B;5;23
Server;21.49%;0.71%;54.58MiB / 7.473GiB;20;9.01kB / 13kB;39.6MB / 4.1kB;5;23
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;6.76kB / 736B;0B / 0B;13;23
Gateway_1;0.00%;0.04%;3.164MiB / 7.473GiB;6;6.38kB / 836B;61.4kB / 0B;13;23
Clients_Router_1;0.00%;0.04%;2.996MiB / 7.473GiB;6;53.3kB / 1.52kB;0B / 0B;13;23
Gateways_Router_1;0.00%;0.04%;3.078MiB / 7.473GiB;6;55.2kB / 1.52kB;4.1kB / 0B;13;23
Server;21.69%;0.72%;54.85MiB / 7.473GiB;20;10kB / 38.3kB;39.6MB / 4.1kB;13;23
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;6.97kB / 736B;0B / 0B;21;20
Gateway_1;0.00%;0.04%;3.164MiB / 7.473GiB;6;6.58kB / 836B;61.4kB / 0B;21;20
Clients_Router_1;0.00%;0.04%;2.996MiB / 7.473GiB;6;75.8kB / 1.52kB;0B / 0B;21;20
Gateways_Router_1;0.00%;0.04%;3.078MiB / 7.473GiB;6;77.7kB / 1.52kB;4.1kB / 0B;21;20
Server;21.34%;0.72%;55.11MiB / 7.473GiB;20;10kB / 60.8kB;39.6MB / 4.1kB;21;20
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;7.42kB / 806B;0B / 0B;29;21
Gateway_1;0.00%;0.04%;3.164MiB / 7.473GiB;6;6.97kB / 836B;61.4kB / 0B;29;21
Clients_Router_1;10.05%;0.07%;5.594MiB / 7.473GiB;8;99.1kB / 1.52kB;0B / 0B;29;21
Gateways_Router_1;10.61%;0.08%;5.777MiB / 7.473GiB;8;101kB / 1.52kB;4.1kB / 0B;29;21
Server;10.71%;0.73%;55.95MiB / 7.473GiB;20;10.7kB / 80.3kB;39.6MB / 4.1kB;29;21
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;487kB / 806B;0B / 0B;37;35
Gateway_1;0.00%;0.04%;3.164MiB / 7.473GiB;6;500kB / 836B;61.4kB / 0B;37;35
Clients_Router_1;35.92%;0.45%;34.57MiB / 7.473GiB;19;995kB / 803kB;0B / 0B;37;35
Gateways_Router_1;34.71%;0.45%;34.74MiB / 7.473GiB;19;1.19MB / 988kB;4.1kB / 0B;37;35
Server;35.50%;0.82%;62.41MiB / 7.473GiB;20;984kB / 688kB;39.6MB / 4.1kB;37;35
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;1.16MB / 806B;0B / 0B;44;62
Gateway_1;0.00%;0.04%;3.164MiB / 7.473GiB;6;1.19MB / 836B;61.4kB / 0B;44;62
Clients_Router_1;36.67%;0.45%;34.59MiB / 7.473GiB;19;2.71MB / 2.31MB;0B / 0B;44;62
Gateways_Router_1;36.98%;0.46%;34.9MiB / 7.473GiB;19;2.68MB / 2.37MB;4.1kB / 0B;44;62
Server;34.99%;0.82%;62.48MiB / 7.473GiB;20;2.15MB / 1.4MB;39.6MB / 4.1kB;44;62
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;1.94MB / 806B;0B / 0B;52;28
Gateway_1;0.00%;0.04%;3.164MiB / 7.473GiB;6;1.94MB / 836B;61.4kB / 0B;52;28
Clients_Router_1;33.82%;0.45%;34.69MiB / 7.473GiB;19;4.22MB / 3.67MB;0B / 0B;52;28
Gateways_Router_1;29.08%;0.46%;34.86MiB / 7.473GiB;19;4.45MB / 3.86MB;4.1kB / 0B;52;28
Server;27.20%;0.82%;62.49MiB / 7.473GiB;20;3.88MB / 2.5MB;39.6MB / 4.1kB;52;28
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;2.66MB / 876B;0B / 0B;60;25
Gateway_1;20.30%;0.07%;5.695MiB / 7.473GiB;8;2.65MB / 836B;65.5kB / 0B;60;25
Clients_Router_1;29.99%;0.45%;34.66MiB / 7.473GiB;19;6.1MB / 5.31MB;0B / 0B;60;25
Gateways_Router_1;30.74%;0.46%;34.94MiB / 7.473GiB;19;6.11MB / 5.29MB;4.1kB / 0B;60;25
Server;26.56%;0.82%;62.49MiB / 7.473GiB;20;5.13MB / 3.31MB;39.6MB / 4.1kB;60;25
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;3.33MB / 876B;0B / 0B;68;71
Gateway_1;59.85%;2.82%;215.8MiB / 7.473GiB;37;3.26MB / 1.18kB;43.4MB / 16.4kB;68;71
Clients_Router_1;28.90%;0.45%;34.7MiB / 7.473GiB;19;7.73MB / 6.65MB;0B / 0B;68;71
Gateways_Router_1;29.76%;0.46%;35.17MiB / 7.473GiB;20;7.71MB / 6.7MB;8.19kB / 0B;68;71
Server;29.80%;0.82%;62.65MiB / 7.473GiB;20;6.69MB / 4.36MB;39.6MB / 4.1kB;68;71
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;4.01MB / 876B;0B / 0B;75;30
Gateway_1;36.82%;3.52%;269.6MiB / 7.473GiB;37;3.97MB / 1.18kB;43.4MB / 16.4kB;75;30
Clients_Router_1;29.11%;0.45%;34.72MiB / 7.473GiB;19;9.23MB / 8.01MB;0B / 0B;75;30
Gateways_Router_1;28.08%;0.46%;35.2MiB / 7.473GiB;20;9.19MB / 8.1MB;8.19kB / 0B;75;30
Server;29.15%;0.82%;62.65MiB / 7.473GiB;20;8.06MB / 5.16MB;39.6MB / 4.1kB;75;30
Client_1;0.00%;0.04%;2.895MiB / 7.473GiB;6;4.59MB / 876B;0B / 0B;83;30
Gateway_1;40.33%;3.46%;264.4MiB / 7.473GiB;37;4.77MB / 1.18kB;43.4MB / 16.4kB;83;30
Clients_Router_1;29.47%;0.45%;34.77MiB / 7.473GiB;19;10.7MB / 9.34MB;0B / 0B;83;30
Gateways_Router_1;30.17%;0.46%;35.24MiB / 7.473GiB;20;10.6MB / 9.53MB;8.19kB / 0B;83;30
Server;30.61%;0.82%;62.77MiB / 7.473GiB;20;9.44MB / 5.96MB;39.6MB / 4.1kB;83;30
Client_1;20.68%;0.07%;5.504MiB / 7.473GiB;8;5.34MB / 876B;0B / 0B;91;29
Gateway_1;31.79%;3.34%;255.7MiB / 7.473GiB;37;5.42MB / 1.18kB;43.4MB / 16.4kB;91;29
Clients_Router_1;23.36%;0.45%;34.8MiB / 7.473GiB;19;12.1MB / 10.7MB;0B / 0B;91;29
Gateways_Router_1;24.14%;0.46%;35.37MiB / 7.473GiB;20;12MB / 10.8MB;8.19kB / 0B;91;29
Server;23.57%;0.82%;62.65MiB / 7.473GiB;20;10.6MB / 6.61MB;39.6MB / 4.1kB;91;29
Client_1;20.12%;0.43%;33.2MiB / 7.473GiB;17;5.96MB / 1.22kB;90.1kB / 0B;99;29
Gateway_1;34.26%;3.12%;238.9MiB / 7.473GiB;37;6.05MB / 1.18kB;43.4MB / 16.4kB;99;29
Clients_Router_1;25.00%;0.46%;35.08MiB / 7.473GiB;20;13.4MB / 11.9MB;0B / 0B;99;29
Gateways_Router_1;23.29%;0.46%;35.3MiB / 7.473GiB;20;13.3MB / 12.1MB;8.19kB / 0B;99;29
Server;23.51%;0.82%;62.59MiB / 7.473GiB;20;11.8MB / 7.24MB;39.6MB / 4.1kB;99;29
Client_1;20.09%;0.43%;33.2MiB / 7.473GiB;17;6.57MB / 1.22kB;90.1kB / 0B;107;28
Gateway_1;32.25%;2.85%;218.4MiB / 7.473GiB;37;6.67MB / 1.18kB;43.4MB / 16.4kB;107;28
Clients_Router_1;25.21%;0.46%;35.1MiB / 7.473GiB;20;14.6MB / 13.1MB;0B / 0B;107;28
Gateways_Router_1;23.49%;0.46%;35.33MiB / 7.473GiB;20;14.5MB / 13.3MB;8.19kB / 0B;107;28
Server;24.27%;0.82%;62.59MiB / 7.473GiB;20;13.1MB / 7.86MB;39.6MB / 4.1kB;107;28
Client_1;20.37%;0.43%;33.2MiB / 7.473GiB;17;7.17MB / 1.22kB;90.1kB / 0B;114;28
Gateway_1;32.07%;2.68%;205.3MiB / 7.473GiB;37;7.2MB / 1.18kB;43.4MB / 16.4kB;114;28
Clients_Router_1;24.39%;0.46%;35.13MiB / 7.473GiB;20;15.8MB / 14.3MB;0B / 0B;114;28
Gateways_Router_1;23.88%;0.46%;35.36MiB / 7.473GiB;20;15.7MB / 14.5MB;8.19kB / 0B;114;28
Server;25.18%;0.82%;62.62MiB / 7.473GiB;20;14.5MB / 8.55MB;39.6MB / 4.1kB;114;28
Client_1;19.67%;0.43%;33.2MiB / 7.473GiB;17;7.79MB / 1.29kB;90.1kB / 0B;122;29
Gateway_1;32.74%;2.49%;190.4MiB / 7.473GiB;37;7.9MB / 1.18kB;43.4MB / 16.4kB;122;29
Clients_Router_1;23.14%;0.46%;35.16MiB / 7.473GiB;20;17.1MB / 15.6MB;0B / 0B;122;29
Gateways_Router_1;25.20%;0.46%;35.48MiB / 7.473GiB;20;17MB / 15.8MB;8.19kB / 0B;122;29
Server;25.15%;0.82%;62.62MiB / 7.473GiB;20;15.5MB / 9.09MB;39.6MB / 4.1kB;122;29
Client_1;19.85%;0.43%;33.2MiB / 7.473GiB;17;8.39MB / 1.29kB;90.1kB / 0B;130;31
Gateway_1;33.66%;2.40%;183.9MiB / 7.473GiB;37;8.52MB / 1.18kB;43.4MB / 16.4kB;130;31
Clients_Router_1;22.89%;0.46%;35.18MiB / 7.473GiB;20;18.3MB / 16.8MB;0B / 0B;130;31
Gateways_Router_1;23.50%;0.46%;35.4MiB / 7.473GiB;20;18MB / 16.9MB;8.19kB / 0B;130;31
Server;22.96%;0.82%;62.62MiB / 7.473GiB;20;16.9MB / 9.76MB;39.6MB / 4.1kB;130;31
Client_1;21.07%;0.43%;33.2MiB / 7.473GiB;17;9MB / 1.29kB;90.1kB / 0B;138;30
Gateway_1;33.53%;2.38%;182MiB / 7.473GiB;37;9.11MB / 1.18kB;43.4MB / 16.4kB;138;30
Clients_Router_1;25.03%;0.46%;35.21MiB / 7.473GiB;20;19.5MB / 18MB;0B / 0B;138;30
Gateways_Router_1;24.91%;0.46%;35.43MiB / 7.473GiB;20;19.4MB / 18.2MB;8.19kB / 0B;138;30
Server;24.63%;0.82%;62.74MiB / 7.473GiB;20;17.9MB / 10.3MB;39.6MB / 4.1kB;138;30
Client_1;21.16%;0.43%;33.2MiB / 7.473GiB;17;9.59MB / 1.29kB;90.1kB / 0B;145;30
Gateway_1;33.44%;2.38%;181.9MiB / 7.473GiB;37;9.73MB / 1.18kB;43.4MB / 16.4kB;145;30
Clients_Router_1;23.77%;0.46%;35.35MiB / 7.473GiB;20;20.7MB / 19.2MB;0B / 0B;145;30
Gateways_Router_1;24.80%;0.46%;35.45MiB / 7.473GiB;20;20.5MB / 19.4MB;8.19kB / 0B;145;30
Server;22.78%;0.82%;62.62MiB / 7.473GiB;20;19.1MB / 10.8MB;39.6MB / 4.1kB;145;30
Client_1;20.24%;0.43%;33.2MiB / 7.473GiB;17;10.1MB / 1.29kB;90.1kB / 0B;153;29
Gateway_1;39.37%;2.38%;182.3MiB / 7.473GiB;39;10.3MB / 1.18kB;43.5MB / 16.4kB;153;29
Clients_Router_1;25.48%;0.46%;35.27MiB / 7.473GiB;20;21.8MB / 20.4MB;0B / 0B;153;29
Gateways_Router_1;24.31%;0.46%;35.47MiB / 7.473GiB;20;21.5MB / 20.5MB;8.19kB / 0B;153;29
Server;24.10%;0.82%;62.62MiB / 7.473GiB;20;20.4MB / 11.4MB;39.6MB / 4.1kB;153;29
Client_1;22.93%;0.43%;33.2MiB / 7.473GiB;17;10.8MB / 1.29kB;90.1kB / 0B;161;33
Gateway_1;96.89%;2.40%;183.5MiB / 7.473GiB;39;11MB / 1.18kB;43.5MB / 16.4kB;161;33
Clients_Router_1;26.23%;0.46%;35.29MiB / 7.473GiB;20;23MB / 21.6MB;0B / 0B;161;33
Gateways_Router_1;26.53%;0.46%;35.5MiB / 7.473GiB;20;22.9MB / 21.9MB;8.19kB / 0B;161;33
Server;23.37%;0.82%;62.63MiB / 7.473GiB;20;21.6MB / 12MB;39.6MB / 4.1kB;161;33
Client_1;21.31%;0.43%;33.2MiB / 7.473GiB;17;11.4MB / 1.29kB;90.1kB / 0B;169;32
Gateway_1;53.74%;2.40%;183.7MiB / 7.473GiB;39;11.6MB / 1.18kB;43.5MB / 16.4kB;169;32
Clients_Router_1;25.36%;0.46%;35.34MiB / 7.473GiB;20;24.2MB / 22.9MB;0B / 0B;169;32
Gateways_Router_1;25.31%;0.46%;35.58MiB / 7.473GiB;20;24.1MB / 23.1MB;8.19kB / 0B;169;32
Server;24.92%;0.82%;62.65MiB / 7.473GiB;20;22.9MB / 12.6MB;39.6MB / 4.1kB;169;32
Client_1;21.27%;0.43%;33.2MiB / 7.473GiB;17;12MB / 1.29kB;90.1kB / 0B;176;32
Gateway_1;39.65%;2.40%;183.8MiB / 7.473GiB;39;12.1MB / 1.18kB;43.5MB / 16.4kB;176;32
Clients_Router_1;25.48%;0.46%;35.36MiB / 7.473GiB;20;25.4MB / 24MB;0B / 0B;176;32
Gateways_Router_1;25.21%;0.46%;35.56MiB / 7.473GiB;20;25.2MB / 24.3MB;8.19kB / 0B;176;32
Server;25.87%;0.82%;62.68MiB / 7.473GiB;20;24.2MB / 13.2MB;39.6MB / 4.1kB;176;32
Client_1;21.85%;0.43%;33.2MiB / 7.473GiB;17;12.6MB / 1.29kB;90.1kB / 0B;184;46
Gateway_1;41.20%;2.40%;184MiB / 7.473GiB;39;12.7MB / 1.18kB;43.5MB / 16.4kB;184;46
Clients_Router_1;24.73%;0.46%;35.38MiB / 7.473GiB;20;26.4MB / 25.1MB;0B / 0B;184;46
Gateways_Router_1;24.35%;0.47%;35.59MiB / 7.473GiB;20;26.3MB / 25.4MB;8.19kB / 0B;184;46
Server;23.83%;0.82%;62.61MiB / 7.473GiB;20;25.1MB / 13.6MB;39.6MB / 4.1kB;184;46
Client_1;22.28%;0.43%;33.2MiB / 7.473GiB;17;13.2MB / 1.29kB;90.1kB / 0B;192;31
Gateway_1;40.66%;2.42%;185.5MiB / 7.473GiB;39;13.2MB / 1.18kB;43.5MB / 16.4kB;192;31
Clients_Router_1;25.14%;0.47%;35.8MiB / 7.473GiB;20;27.6MB / 26.3MB;0B / 0B;192;31
Gateways_Router_1;26.49%;0.47%;35.61MiB / 7.473GiB;20;27.4MB / 26.6MB;8.19kB / 0B;192;31
Server;26.26%;0.82%;62.64MiB / 7.473GiB;20;26.5MB / 14.3MB;39.6MB / 4.1kB;192;31
Client_1;23.07%;0.43%;33.2MiB / 7.473GiB;17;13.6MB / 1.29kB;90.1kB / 0B;200;37
Gateway_1;44.90%;2.42%;185.5MiB / 7.473GiB;39;13.8MB / 1.18kB;43.5MB / 16.4kB;200;37
Clients_Router_1;26.57%;0.46%;35.45MiB / 7.473GiB;20;28.7MB / 27.4MB;0B / 0B;200;37
Gateways_Router_1;25.33%;0.47%;35.95MiB / 7.473GiB;20;28.6MB / 27.8MB;8.19kB / 0B;200;37
Server;25.34%;0.82%;62.66MiB / 7.473GiB;20;27.6MB / 14.8MB;39.6MB / 4.1kB;200;37
Client_1;20.32%;0.43%;33.2MiB / 7.473GiB;17;14.3MB / 1.29kB;90.1kB / 0B;207;39
Gateway_1;45.34%;2.43%;185.9MiB / 7.473GiB;39;14.5MB / 1.18kB;43.5MB / 16.4kB;207;39
Clients_Router_1;26.73%;0.47%;35.79MiB / 7.473GiB;20;29.7MB / 28.4MB;0B / 0B;207;39
Gateways_Router_1;25.14%;0.47%;35.66MiB / 7.473GiB;20;29.7MB / 28.9MB;8.19kB / 0B;207;39
Server;25.75%;0.82%;63.06MiB / 7.473GiB;20;28.8MB / 15.4MB;39.6MB / 4.1kB;207;39
Client_1;21.33%;0.43%;33.2MiB / 7.473GiB;17;14.9MB / 1.29kB;90.1kB / 0B;215;34
Gateway_1;49.37%;2.91%;223MiB / 7.473GiB;48;15.1MB / 4.54kB;44.5MB / 16.4kB;215;34
Clients_Router_1;26.54%;0.46%;35.5MiB / 7.473GiB;20;31MB / 29.7MB;0B / 0B;215;34
Gateways_Router_1;26.85%;0.47%;35.79MiB / 7.473GiB;20;30.7MB / 30MB;8.19kB / 0B;215;34
Server;25.94%;0.82%;62.78MiB / 7.473GiB;20;30MB / 15.9MB;39.6MB / 4.1kB;215;34
Client_1;21.33%;0.44%;33.31MiB / 7.473GiB;17;15.5MB / 1.29kB;90.1kB / 0B;223;32
Gateway_1;40.28%;2.92%;223.2MiB / 7.473GiB;48;15.7MB / 4.54kB;44.5MB / 16.4kB;223;32
Clients_Router_1;25.50%;0.46%;35.52MiB / 7.473GiB;20;32.2MB / 30.9MB;0B / 0B;223;32
Gateways_Router_1;25.41%;0.47%;35.71MiB / 7.473GiB;20;32MB / 31.4MB;8.19kB / 0B;223;32
Server;24.97%;0.82%;62.73MiB / 7.473GiB;20;31MB / 16.4MB;39.6MB / 4.1kB;223;32
Client_1;21.27%;0.43%;33.2MiB / 7.473GiB;17;16MB / 1.29kB;90.1kB / 0B;231;36
Gateway_1;42.18%;2.92%;223.2MiB / 7.473GiB;48;16.3MB / 4.54kB;44.5MB / 16.4kB;231;36
Clients_Router_1;25.98%;0.46%;35.55MiB / 7.473GiB;20;33.3MB / 32.1MB;0B / 0B;231;36
Gateways_Router_1;25.66%;0.47%;35.75MiB / 7.473GiB;20;33.1MB / 32.6MB;8.19kB / 0B;231;36
Server;26.70%;0.82%;62.82MiB / 7.473GiB;20;32.2MB / 16.9MB;39.6MB / 4.1kB;231;36
Client_1;20.31%;0.43%;33.2MiB / 7.473GiB;17;16.6MB / 1.29kB;90.1kB / 0B;238;31
Gateway_1;39.31%;2.92%;223.3MiB / 7.473GiB;48;16.9MB / 4.54kB;44.5MB / 16.4kB;238;31
Clients_Router_1;24.88%;0.46%;35.57MiB / 7.473GiB;20;34.5MB / 33.3MB;0B / 0B;238;31
Gateways_Router_1;24.95%;0.47%;35.78MiB / 7.473GiB;20;34.2MB / 33.8MB;8.19kB / 0B;238;31
Server;24.37%;0.82%;62.78MiB / 7.473GiB;20;33.4MB / 17.5MB;39.6MB / 4.1kB;238;31
Client_1;21.04%;0.43%;33.2MiB / 7.473GiB;17;17.2MB / 1.36kB;90.1kB / 0B;246;31
Gateway_1;39.31%;2.92%;223.1MiB / 7.473GiB;48;17.4MB / 4.54kB;44.5MB / 16.4kB;246;31
Clients_Router_1;25.84%;0.47%;35.67MiB / 7.473GiB;20;35.7MB / 34.5MB;0B / 0B;246;31
Gateways_Router_1;25.46%;0.47%;35.81MiB / 7.473GiB;20;35.4MB / 35MB;8.19kB / 0B;246;31
Server;25.03%;0.82%;62.81MiB / 7.473GiB;20;34.8MB / 18.2MB;39.6MB / 4.1kB;246;31
Client_1;20.38%;0.43%;33.2MiB / 7.473GiB;17;17.8MB / 1.36kB;90.1kB / 0B;254;31
Gateway_1;38.89%;2.92%;223.4MiB / 7.473GiB;48;18.1MB / 4.54kB;44.5MB / 16.4kB;254;31
Clients_Router_1;25.28%;0.47%;36.06MiB / 7.473GiB;20;36.7MB / 35.5MB;0B / 0B;254;31
Gateways_Router_1;24.43%;0.47%;35.9MiB / 7.473GiB;20;36.5MB / 36.3MB;8.19kB / 0B;254;31
Server;22.87%;0.82%;62.84MiB / 7.473GiB;20;35.9MB / 18.7MB;39.6MB / 4.1kB;254;31
Client_1;21.09%;0.43%;33.2MiB / 7.473GiB;17;18.4MB / 1.36kB;90.1kB / 0B;262;31
